residual	ratio	lwr	upr
0.0263	0.0855811595299951	1	13264165439984701440
0.0264	0.0856267148204764	1	13181004580871852032
0.0265	0.0856722943592357	1	1.309836511217e+19
0.0266	0.0857178981609084	1	13016243766016370688
0.0267	0.0857635262379941	1	12934637293171695616
0.0268	0.0858091786029245	1	1.2853542465364e+19
0.0269	0.0858548552689289	1	12772956074721400832
0.027	0.0859005562481281	1	12692874933772726272
0.0271	0.0859462815550526	1	12613295874957152256
0.0272	0.0859920312015304	1	12534215749978494976
0.0273	0.0860378052007283	1	12455631430378448896
0.0274	0.0860836035653116	1	12377539808507404288
0.0275	0.086129426309191	1	1.2299937794115e+19
0.0276	0.0861752734446735	1	12222822318420273152
0.0277	0.0862211449845668	1	12146190330505349120
0.0278	0.0862670409421062	1	12070038799086317568
0.0279	0.0863129613305064	1	11994364712074106880
0.028	0.0863589061626741	1	11919165075637432320
0.0281	0.0864048754511424	1	11844436915082340352
0.0282	0.0864508692092879	1	11770177274978545664
0.0283	0.0864968874504303	1	11696383217329113088
0.0284	0.0865429301870722	1	11623051823067424768
0.0285	0.0865889974328508	1	11550180191521622016
0.0286	0.0866350892000959	1	11477765440136531968
0.0287	0.0866812055022691	1	11405804704525350912
0.0288	0.0867273463526391	1	11334295137535424512
0.0289	0.0867735117638018	1	11263233911071692800
0.029	0.0868197017490067	1	11192618214429929472
0.0291	0.0868659163216878	1	11122445253386211328
0.0292	0.08691215549422	1	11052712252722194432
0.0293	0.0869584192805135	1	1.0983416453464e+19
0.0294	0.0870047076928829	1	10914555114967453696
0.0295	0.0870510207449263	1	1.0846125513384e+19
0.0296	0.087097358449985	1	10778124941563480064
0.0297	0.0871437208202108	1	10710550709339490304
0.0298	0.0871901078697559	1	10643400144272801792
0.0299	0.0872365196113357	1	10576670589706881024
0.03	0.0872829560582981	1	10510359406012084224
0.0301	0.0873294172233896	1	10444463970463412224
0.0302	0.087375903119886	1	10378981676151863296
0.0303	0.0874224137613229	1	10313909932565553152
0.0304	0.0874689491607174	1	10249246166188435456
0.0305	0.0875155093305665	1	10184987818969618432
0.0306	0.0875620942848867	1	10121132348493654016
0.0307	0.0876087040368747	1	10057677229548814336
0.0308	0.0876553385993799	1	9994619952053489664
0.0309	0.0877019979856185	1	9931958021037979648
0.031	0.0877486822087617	1	9869688958074175488
0.0311	0.0877953912824521	1	9807810300342179840
0.0312	0.0878421252194636	1	9746319599656278016
0.0313	0.0878888840331067	1	9685214423656833024
0.0314	0.0879356677370419	1	9624492355448037376
0.0315	0.0879824763438211	1	9564150992949891072
0.0316	0.0880293098670329	1	9504187949244043264
0.0317	0.0880761683201826	1	9444600852212008960
0.0318	0.088123051716176	1	9385387345281847296
0.0319	0.0881699600687391	1	9326545085862348800
0.032	0.088216893390474	1	9268071745816944640
0.0321	0.0882638516952841	1	9209965012929813504
0.0322	0.0883108349961117	1	9152222588234969088
0.0323	0.0883578433062406	1	9094842187767382016
0.0324	0.0884048766399533	1	9037821541870121984
0.0325	0.088451935009116	1	8981158394567271424
0.0326	0.0884990184276154	1	8924850504739898368
0.0327	0.0885461269090118	1	8868895645098353664
0.0328	0.088593260466225	1	8813291602068444160
0.0329	0.0886404191133239	1	8758036176222380032
0.033	0.0886876028629168	1	8703127181818932224
0.0331	0.0887348117286697	1	8648562446606621696
0.0332	0.0887820457238726	1	8594339812556582912
0.0333	0.0888293048622804	1	8540457134659463168
0.0334	0.0888765891568481	1	8486912281550238720
0.0335	0.0889238986210631	1	8433703134703671296
0.0336	0.0889712332682619	1	8380827590080918528
0.0337	0.0890185931117729	1	8328283555477853184
0.0338	0.0890659781657289	1	8276068952632574976
0.0339	0.0891133884423319	1	8224181716258909184
0.034	0.0891608239560789	1	8172619793734211584
0.0341	0.0892082847202072	1	8121381145539684352
0.0342	0.0892557707473513	1	8070463744597387264
0.0343	0.0893032820518729	1	8019865576904829952
0.0344	0.0893508186467442	1	7969584641117516800
0.0345	0.0893983805457722	1	7919618947932518400
0.0346	0.0894459677625182	1	7869966521449342976
0.0347	0.0894935803100142	1	7820625397030400000
0.0348	0.0895412182013134	1	7771593623121949696
0.0349	0.0895888814510133	1	7.722869260118e+18
0.035	0.0896365700722828	1	7674450380731315200
0.0351	0.0896842840781901	1	7626335069744215040
0.0352	0.0897320234825445	1	7578521423504470016
0.0353	0.0897797882987692	1	7531007550940897280
0.0354	0.0898275785408147	1	7483791572734551040
0.0355	0.089875394221252	1	7436871620951938048
0.0356	0.0899232353546935	1	7390245839682844672
0.0357	0.0899711019537306	1	7343912384232335360
0.0358	0.0900189940329815	1	7297869422156753920
0.0359	0.0900669116049463	1	7252115132187032576
0.036	0.0901148546839934	1	7206647704492052480
0.0361	0.0901628232831714	1	7161465339934502912
0.0362	0.090210817416432	1	7116566251952846848
0.0363	0.0902588370971986	1	7071948664296745984
0.0364	0.090306882338836	1	7027610811737274368
0.0365	0.0903549531554066	1	6983550940760055808
0.0366	0.0904030495608166	1	6939767308498138112
0.0367	0.0904511715673645	1	6896258182830954496
0.0368	0.0904993191899397	1	6853021842575754240
0.0369	0.0905474924415806	1	6810056577974218752
0.037	0.0905956913364244	1	6767360689102375936
0.0371	0.090643915887413	1	6724932486997556224
0.0372	0.0906921661084279	1	6682770293325788160
0.0373	0.0907404420136905	1	6640872440638590976
0.0374	0.0907887436162171	1	6599237271290207232
0.0375	0.0908370709300896	1	6557863138485280768
