residual	ratio	ratio_se	lwr	upr
1e-04	2.2265891355655	0.0652011733684434	0.5	4.83463607030323
2e-04	2.22667702234491	0.0651875520057788	0.5	4.83417910257606
3e-04	2.22676490912432	0.0651739314970982	0.5	4.83372216900824
4e-04	2.22685279590373	0.0651603118429371	0.5	4.83326526962121
5e-04	2.22694068268314	0.0651466930438316	0.5	4.8328084044364
6e-04	2.22702856946255	0.0651330751003179	0.5	4.83235157347526
7e-04	2.22711645624196	0.0651194580129328	0.5	4.83189477675927
8e-04	2.22720434302137	0.0651058417822135	0.5	4.83143801430992
9e-04	2.22729222980078	0.0650922264086977	0.5	4.83098128614869
0.001	2.2273801165802	0.0650786118929233	0.5	4.83052459229713
0.0011	2.22746800335961	0.0650649982354288	0.5	4.83006793277676
0.0012	2.22755589013902	0.0650513854367529	0.5	4.82961130760914
0.0013	2.22764377691843	0.0650377734974351	0.5	4.82915471681583
0.0014	2.22773166369784	0.065024162418015	0.5	4.82869816041844
0.0015	2.22781955047725	0.0650105521990326	0.5	4.82824163843855
0.0016	2.22790743725666	0.0649969428410285	0.5	4.8277851508978
0.0017	2.22799532403608	0.0649833343445436	0.5	4.82732869781782
0.0018	2.22808321081549	0.0649697267101193	0.5	4.82687227922026
0.0019	2.2281710975949	0.0649561199382974	0.5	4.8264158951268
0.002	2.22825898437431	0.0649425140296201	0.5	4.82595954555911
0.0021	2.22834687115372	0.06492890898463	0.5	4.82550323053892
0.0022	2.22843475793313	0.0649153048038701	0.5	4.82504695008794
0.0023	2.22852264471254	0.0649017014878839	0.5	4.8245907042279
0.0024	2.22861053149195	0.0648880990372152	0.5	4.82413449298056
0.0025	2.22869841827137	0.0648744974524085	0.5	4.8236783163677
0.0026	2.22878630505078	0.0648608967340083	0.5	4.82322217441111
0.0027	2.22887419183019	0.0648472968825598	0.5	4.82276606713258
0.0028	2.2289620786096	0.0648336978986087	0.5	4.82230999455395
0.0029	2.22904996538901	0.0648200997827009	0.5	4.82185395669704
0.003	2.22913785216842	0.0648065025353827	0.5	4.82139795358373
0.0031	2.22922573894783	0.0647929061572012	0.5	4.82094198523588
0.0032	2.22931362572724	0.0647793106487034	0.5	4.82048605167538
0.0033	2.22940151250666	0.0647657160104372	0.5	4.82003015292414
0.0034	2.22948939928607	0.0647521222429505	0.5	4.81957428900409
0.0035	2.22957728606548	0.0647385293467921	0.5	4.81911845993716
0.0036	2.22966517284489	0.0647249373225107	0.5	4.81866266574532
0.0037	2.2297530596243	0.0647113461706559	0.5	4.81820690645053
0.0038	2.22984094640371	0.0646977558917773	0.5	4.8177511820748
0.0039	2.22992883318312	0.0646841664864254	0.5	4.81729549264014
0.004	2.23001671996253	0.0646705779551506	0.5	4.81683983816856
0.0041	2.23010460674195	0.0646569902985043	0.5	4.81638421868212
0.0042	2.23019249352136	0.0646434035170377	0.5	4.81592863420287
0.0043	2.23028038030077	0.064629817611303	0.5	4.81547308475289
0.0044	2.23036826708018	0.0646162325818525	0.5	4.81501757035428
0.0045	2.23045615385959	0.0646026484292389	0.5	4.81456209102915
0.0046	2.230544040639	0.0645890651540157	0.5	4.81410664679963
0.0047	2.23063192741841	0.0645754827567363	0.5	4.81365123768787
0.0048	2.23071981419782	0.064561901237955	0.5	4.81319586371602
0.0049	2.23080770097724	0.0645483205982261	0.5	4.81274052490628
0.005	2.23089558775665	0.0645347408381048	0.5	4.81228522128084
0.0051	2.23098347453606	0.0645211619581464	0.5	4.81182995286192
0.0052	2.23107136131547	0.0645075839589067	0.5	4.81137471967174
0.0053	2.23115924809488	0.064494006840942	0.5	4.81091952173256
0.0054	2.23124713487429	0.064480430604809	0.5	4.81046435906665
0.0055	2.2313350216537	0.0644668552510647	0.5	4.81000923169629
0.0056	2.23142290843311	0.0644532807802668	0.5	4.80955413964379
0.0057	2.23151079521253	0.0644397071929732	0.5	4.80909908293146
0.0058	2.23159868199194	0.0644261344897424	0.5	4.80864406158163
0.0059	2.23168656877135	0.0644125626711332	0.5	4.80818907561668
0.006	2.23177445555076	0.0643989917377049	0.5	4.80773412505896
0.0061	2.23186234233017	0.0643854216900172	0.5	4.80727920993086
0.0062	2.23195022910958	0.0643718525286303	0.5	4.80682433025479
0.0063	2.23203811588899	0.0643582842541048	0.5	4.80636948605319
0.0064	2.23212600266841	0.0643447168670017	0.5	4.80591467734847
0.0065	2.23221388944782	0.0643311503678825	0.5	4.80545990416311
0.0066	2.23230177622723	0.064317584757309	0.5	4.80500516651959
0.0067	2.23238966300664	0.0643040200358438	0.5	4.80455046444039
0.0068	2.23247754978605	0.0642904562040494	0.5	4.80409579794803
0.0069	2.23256543656546	0.0642768932624892	0.5	4.80364116706503
0.007	2.23265332334487	0.0642633312117268	0.5	4.80318657181394
0.0071	2.23274121012428	0.0642497700523263	0.5	4.80273201221733
0.0072	2.2328290969037	0.0642362097848522	0.5	4.80227748829778
0.0073	2.23291698368311	0.0642226504098695	0.5	4.80182300007789
0.0074	2.23300487046252	0.0642090919279437	0.5	4.80136854758027
0.0075	2.23309275724193	0.0641955343396405	0.5	4.80091413082755
0.0076	2.23318064402134	0.0641819776455263	0.5	4.80045974984239
0.0077	2.23326853080075	0.0641684218461679	0.5	4.80000540464747
0.0078	2.23335641758016	0.0641548669421323	0.5	4.79955109526546
0.0079	2.23344430435957	0.0641413129339873	0.5	4.79909682171907
0.008	2.23353219113898	0.0641277598223008	0.5	4.79864258403102
0.0081	2.2336200779184	0.0641142076076415	0.5	4.79818838222406
0.0082	2.23370796469781	0.0641006562905782	0.5	4.79773421632094
