residual	ratio	lwr	upr
1e-04	4.25435090253629	1	6652.01892184872
2e-04	4.2543503697581	1	6640.77127912178
3e-04	4.25434983697999	1	6629.54274171581
4e-04	4.25434930420193	1	6618.33327709038
5e-04	4.25434877142394	1	6607.14285276422
6e-04	4.25434823864601	1	6595.97143630788
7e-04	4.25434770586815	1	6584.81899534987
8e-04	4.25434717309038	1	6573.68549757129
9e-04	4.25434664031266	1	6562.57091071036
0.001	4.25434610753498	1	6551.47520255992
0.0011	4.25434557475741	1	6540.39834096809
0.0012	4.25434504197989	1	6529.34029383713
0.0013	4.25434450920244	1	6518.30102912333
0.0014	4.25434397642504	1	6507.28051483924
0.0015	4.25434344364773	1	6496.27871905292
0.0016	4.25434291087047	1	6485.29560988292
0.0017	4.25434237809328	1	6474.33115550636
0.0018	4.25434184531617	1	6463.38532415241
0.0019	4.25434131253912	1	6452.45808410492
0.002	4.25434077976214	1	6441.54940370221
0.0021	4.25434024698522	1	6430.65925133623
0.0022	4.25433971420836	1	6419.7875954537
0.0023	4.25433918143156	1	6408.93440455262
0.0024	4.25433864865485	1	6398.09964718777
0.0025	4.2543381158782	1	6387.28329196659
0.0026	4.25433758310161	1	6376.48530754997
0.0027	4.2543370503251	1	6365.70566265126
0.0028	4.25433651754865	1	6354.94432603823
0.0029	4.25433598477226	1	6344.20126653293
0.003	4.25433545199593	1	6333.4764530081
0.0031	4.2543349192197	1	6322.76985439181
0.0032	4.25433438644349	1	6312.08143966392
0.0033	4.25433385366739	1	6301.41117785791
0.0034	4.25433332089133	1	6290.75903805966
0.0035	4.25433278811535	1	6280.12498940806
0.0036	4.25433225533942	1	6269.50900109391
0.0037	4.25433172256358	1	6258.9110423618
0.0038	4.25433118978778	1	6248.33108250791
0.0039	4.25433065701206	1	6237.76909088109
0.004	4.25433012423642	1	6227.22503688299
0.0041	4.25432959146083	1	6216.69888996508
0.0042	4.25432905868531	1	6206.19061963538
0.0043	4.25432852590987	1	6195.70019544962
